,HPI_Rank,Country,Region,Average_Life_Expectancy,Average_Wellbeing,Happy_Life_Years,Footprint,Inequality_of_Outcomes,IA_LifeExpectancy,IA_Wellbeing,HPI_Index,GDPpercapita,Population,GINI_Index
0,110,Afghanistan,Middle East and North Africa,59.668,3.8,12.396023808740251,0.79,0.426557441321005,38.348817624915156,3.3904943176737405,20.225349770957084,690.8426290149556,29726803,Data unavailable
1,13,Albania,Post-communist,77.347,5.5,34.414736010872105,2.21,0.16513371734395715,69.67115927983652,5.097650400487446,36.76687443910996,4247.485436815021,2900489,28.96
2,30,Algeria,Middle East and North Africa,74.313,5.6,30.469461311230717,2.12,0.2448617478895881,60.47454459360247,5.196449185598303,33.30054278861537,5583.616159501314,37439427,Data unavailable
3,19,Argentina,Americas,75.92699999999999,6.5,40.16667387457994,3.14,0.1642383010777108,68.3495831090017,6.034707039597872,35.190243642294554,14357.411589390273,42095224,42.49
4,73,Armenia,Post-communist,74.446,4.3,24.01876006070231,2.23,0.21664810329631146,66.92168232301029,3.74713959801918,25.666417288436907,3565.5175749253985,2978339,30.48
5,105,Australia,Asia Pacific,82.052,7.2,53.06949770952637,9.31,0.08067824767105994,78.5600237730927,6.9133349323794056,21.228966308259448,67646.10385296255,22728254,Data unavailable
6,43,Austria,Europe,81.00399999999999,7.4,54.4362296172169,6.06,0.07129350512862645,78.02278579332881,7.135020328712086,30.478224326612512,48324.25403676058,8429991,30.48
7,8,Bangladesh,Asia Pacific,70.843,4.7,23.289481686756467,0.72,0.2736572489916234,56.624648744699115,4.271012943248788,38.390694412040204,858.9333625876206,155257387,Data unavailable
8,102,Belarus,Post-communist,70.874,5.7,34.014327399277356,5.09,0.13190987750517025,66.74485151737974,5.254227139247806,21.71891608161791,6721.834907739675,9464000,26.01
9,87,Belgium,Europe,80.429,6.9,49.537808079218166,7.44,0.08537280272038357,77.21074725167702,6.573976019303335,23.72652342708588,44731.21947946376,11128246,27.59
10,27,Belize,Americas,69.795,6.142857142857168,34.176812958766234,2.54818,0.18012316717867774,61.66504682999505,5.700386150670058,33.839843152010175,4674.293376734075,336707,Data unavailable
11,137,Benin,Sub Saharan Africa,59.167,3.2,9.935781015673806,1.41,0.44411329150235457,37.26979931925182,2.8239614471712557,13.422364785112695,807.6884510172321,10049792,Data unavailable
12,56,Bhutan,Asia Pacific,68.748,5.6,27.412124972715244,2.32167,0.2655913919503828,54.52441464176365,5.1855501903201535,28.623232694458203,2452.151587937413,743711,38.65
13,92,Bolivia,Americas,67.45,6.0,25.556965534075747,2.96,0.3498051385444441,47.85815272165475,5.4982034505481705,23.321492640124323,2645.29027433174,10238762,46.7
14,76,Bosnia and Herzegovina,Post-communist,76.175,4.8,28.638083217409843,3.12,0.1860445575221501,71.07562838316008,4.18729562802029,25.285496892917728,4494.640811977125,3828419,Data unavailable
15,126,Botswana,Sub Saharan Africa,64.249,4.8,21.280916438500835,3.83,0.2839128529523172,50.79681579185376,4.347474058927432,16.60508318606135,6935.5936526659325,2132822,Data unavailable
16,23,Brazil,Americas,73.907,6.9,38.964295710154644,3.11,0.21632152997386367,63.27166723853446,6.316308037442293,34.34497524764865,12157.308217647336,202401584,52.67
17,109,Bulgaria,Post-communist,73.913,4.2,23.980292568101433,3.32,0.1928342225056908,68.136289796767,3.677514376223407,20.440789274271477,7333.3550730394545,7305888,36.01
18,119,Burkina Faso,Sub Saharan Africa,57.955,4.0,12.579612792510288,1.21,0.4324926106324752,36.46481723789138,3.607849235741492,17.886187937472513,673.0267834254067,16590813,Data unavailable
19,131,Burundi,Sub Saharan Africa,55.803000000000004,3.4333333333332803,9.490206596028287,0.8,0.4774271202379178,33.012807924643475,3.0327591350005085,15.576158801048253,244.1964862315103,10124572,Data unavailable
20,74,Cambodia,Asia Pacific,67.467,3.9,18.211074563845848,1.21,0.27534974234081994,54.15956120751568,3.5205402996167394,25.649373163663057,946.4766787104164,14832255,30.76
21,124,Cameroon,Sub Saharan Africa,54.61,4.2,11.570008795661796,1.17,0.4727515627353425,33.0940409887436,3.6541550217161154,16.698237171638215,1222.1921422043586,21659488,Data unavailable
22,85,Canada,Americas,81.654,7.4,53.859876692288466,8.17,0.08828664244333384,77.78667128035971,7.082104239930262,23.941833842035646,52737.77716467785,34751476,Data unavailable
23,140,Chad,Sub Saharan Africa,50.808,4.0,9.580599051414259,1.46,0.5073423160211841,27.318494286760544,3.665055818208328,12.777156207493999,972.679345110246,12715465,Data unavailable
24,35,Chile,Americas,81.05,6.6,44.65574620940667,4.36,0.14306822168319042,74.9174523728136,6.118714687385134,31.66552155295386,15253.330825962032,17388437,Data unavailable
25,72,China,Asia Pacific,75.365,5.1,30.625050818135147,3.38,0.17499423783093854,68.64677442560354,4.619305931112665,25.726420155417852,6264.643877939926,1350695000,Data unavailable
26,3,Colombia,Americas,73.673,6.4,35.07089278089951,1.87,0.23504395279537654,63.10066889932085,5.715981941744548,40.695011020389096,7885.061292302139,46881018,53.54
27,93,Comoros,Sub Saharan Africa,62.598,4.0,15.441979288589225,1.03,0.3559641151715294,43.28654057501722,3.725440544145545,23.10098881453457,750.3146086005014,733661,Data unavailable
28,1,Costa Rica,Americas,79.07600000000001,7.3,48.17479217977501,2.84,0.14556769442369108,72.61555149886333,6.792279883417421,44.714070977357395,9733.396930540235,4654148,48.61
29,135,Cote d'Ivoire,Sub Saharan Africa,50.83,3.8249999999999886,10.270453558495458,1.27,0.4468447766769828,30.63832321729613,3.5102138339299973,14.438557469478425,1281.3828651673055,21102641,Data unavailable
